# https://explorer.acinq.co/nodes and whois results
# Lightning Nodes
IP Address|Port|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
0.0.0.0|9735|NA|NA||other||NA
0:0:0:0:0:0:0:0|9735|NA|NA||other||NA
10.0.0.9|80|NA|NA||other||NA
10.0.1.149|9735|NA|NA||other||NA
10.1.1.78|9735|NA|NA||other||NA
10.1.3.25|9735|NA|NA||other||NA
10.80.80.108|9735|NA|NA||other||NA
10.80.80.110|9735|NA|NA||other||NA
100.107.81.36|9735|NA|NA||other||NA
100.2.79.73|9735|701|100.2.0.0/16|US|arin|2010-12-28|UUNET, US
100.33.69.78|9735|701|100.33.0.0/16|US|arin|2010-12-28|UUNET, US
100.37.149.103|9735|701|100.37.0.0/16|US|arin|2010-12-28|UUNET, US
100.38.11.146|9735|701|100.38.0.0/16|US|arin|2010-12-28|UUNET, US
100.6.48.151|9735|701|100.6.0.0/16|US|arin|2010-12-28|UUNET, US
100.64.46.81|9735|NA|NA||other||NA
100.89.94.243|9735|NA|NA||other||NA
100.99.8.64|9735|NA|NA||other||NA
101.100.163.118|9735|56300|101.100.163.0/24|SG|apnic|2010-12-22|MYREPUBLIC-SG MyRepublic Ltd., SG
101.100.174.24|9735|56300|101.100.174.0/24|SG|apnic|2010-12-22|MYREPUBLIC-SG MyRepublic Ltd., SG
101.112.230.87|9735|133612|101.112.224.0/19|AU|apnic|2010-12-14|VODAFONE-AS-AP Vodafone Australia Pty Ltd, AU
101.160.136.195|9735|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
101.51.159.202|9735|23969|101.51.152.0/21|TH|apnic|2010-12-13|TOT-NET TOT Public Company Limited, TH
103.1.237.3|9735|45544|103.1.236.0/23|VN|apnic|2011-04-20|SUPERDATA-AS-VN SUPERDATA-, VN
103.122.45.134|9735|138204|103.122.45.0/24|TH|apnic|2018-09-11|SURF-AS-AP Sophon Broadband Networks co.,ltd, TH
103.72.146.33|9735|135377|103.72.146.0/24|CN|apnic|2016-08-18|UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK
